road,random--la11,random--la111,random--la109,random--la215,random--la219,random--la31,random--la310,random--la311,random--la322,random--la46,random--la412,random--la415,random--la53,random--la510,random--la610,random--la616,random--la617,random--la625,random--la75,random--la711,random--la713,random--la84,random--la811,random--la816,random--la819,random--la820,random--la821,random--la822,random--la93,random--la912
random--la412,0.9375,0.875,1.0,1.0,1.0,0.75,0.9375,0.9375,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,0.8125,1.0,0.9375,1.0,0.9375,1.0,1.0,0.9375
random--la415,0.9375,0.875,1.0,1.0,1.0,0.75,0.9375,0.9375,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,0.8125,1.0,0.9375,1.0,0.9375,1.0,1.0,0.9375
random--la53,0.875,0.8125,0.9375,0.9375,0.9375,0.6875,1.0,1.0,0.9375,0.875,0.9375,0.9375,1.0,1.0,0.875,1.0,0.9375,0.9375,0.9375,1.0,0.9375,1.0,0.75,0.9375,0.875,0.9375,1.0,0.9375,0.9375,0.875
random--la510,0.875,0.8125,0.9375,0.9375,0.9375,0.6875,1.0,1.0,0.9375,0.875,0.9375,0.9375,1.0,1.0,0.875,1.0,0.9375,0.9375,0.9375,1.0,0.9375,1.0,0.75,0.9375,0.875,0.9375,1.0,0.9375,0.9375,0.875
random--la610,1.0,0.9375,0.9375,0.9375,0.9375,0.8125,0.875,0.875,0.9375,1.0,0.9375,0.9375,0.875,0.875,1.0,0.875,0.9375,0.9375,0.9375,0.875,0.9375,0.875,0.875,0.9375,1.0,0.9375,0.875,0.9375,0.9375,1.0
random--la616,0.875,0.8125,0.9375,0.9375,0.9375,0.6875,1.0,1.0,0.9375,0.875,0.9375,0.9375,1.0,1.0,0.875,1.0,0.9375,0.9375,0.9375,1.0,0.9375,1.0,0.75,0.9375,0.875,0.9375,1.0,0.9375,0.9375,0.875
random--la617,0.9375,0.875,1.0,1.0,1.0,0.75,0.9375,0.9375,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,0.8125,1.0,0.9375,1.0,0.9375,1.0,1.0,0.9375
random--la625,0.9375,0.875,1.0,1.0,1.0,0.75,0.9375,0.9375,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,0.8125,1.0,0.9375,1.0,0.9375,1.0,1.0,0.9375
random--la75,0.9375,0.875,1.0,1.0,1.0,0.75,0.9375,0.9375,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,0.8125,1.0,0.9375,1.0,0.9375,1.0,1.0,0.9375
random--la711,0.875,0.8125,0.9375,0.9375,0.9375,0.6875,1.0,1.0,0.9375,0.875,0.9375,0.9375,1.0,1.0,0.875,1.0,0.9375,0.9375,0.9375,1.0,0.9375,1.0,0.75,0.9375,0.875,0.9375,1.0,0.9375,0.9375,0.875
random--la713,0.9375,0.875,1.0,1.0,1.0,0.75,0.9375,0.9375,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,0.8125,1.0,0.9375,1.0,0.9375,1.0,1.0,0.9375
random--la84,0.875,0.8125,0.9375,0.9375,0.9375,0.6875,1.0,1.0,0.9375,0.875,0.9375,0.9375,1.0,1.0,0.875,1.0,0.9375,0.9375,0.9375,1.0,0.9375,1.0,0.75,0.9375,0.875,0.9375,1.0,0.9375,0.9375,0.875
random--la811,0.875,0.9375,0.8125,0.8125,0.8125,0.9375,0.75,0.75,0.8125,0.875,0.8125,0.8125,0.75,0.75,0.875,0.75,0.8125,0.8125,0.8125,0.75,0.8125,0.75,1.0,0.8125,0.875,0.8125,0.75,0.8125,0.8125,0.875
random--la816,0.9375,0.875,1.0,1.0,1.0,0.75,0.9375,0.9375,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,0.8125,1.0,0.9375,1.0,0.9375,1.0,1.0,0.9375
random--la819,1.0,0.9375,0.9375,0.9375,0.9375,0.8125,0.875,0.875,0.9375,1.0,0.9375,0.9375,0.875,0.875,1.0,0.875,0.9375,0.9375,0.9375,0.875,0.9375,0.875,0.875,0.9375,1.0,0.9375,0.875,0.9375,0.9375,1.0
random--la820,0.9375,0.875,1.0,1.0,1.0,0.75,0.9375,0.9375,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,0.8125,1.0,0.9375,1.0,0.9375,1.0,1.0,0.9375
random--la821,0.875,0.8125,0.9375,0.9375,0.9375,0.6875,1.0,1.0,0.9375,0.875,0.9375,0.9375,1.0,1.0,0.875,1.0,0.9375,0.9375,0.9375,1.0,0.9375,1.0,0.75,0.9375,0.875,0.9375,1.0,0.9375,0.9375,0.875
random--la822,0.9375,0.875,1.0,1.0,1.0,0.75,0.9375,0.9375,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,0.8125,1.0,0.9375,1.0,0.9375,1.0,1.0,0.9375
random--la93,0.9375,0.875,1.0,1.0,1.0,0.75,0.9375,0.9375,1.0,0.9375,1.0,1.0,0.9375,0.9375,0.9375,0.9375,1.0,1.0,1.0,0.9375,1.0,0.9375,0.8125,1.0,0.9375,1.0,0.9375,1.0,1.0,0.9375
random--la912,1.0,0.9375,0.9375,0.9375,0.9375,0.8125,0.875,0.875,0.9375,1.0,0.9375,0.9375,0.875,0.875,1.0,0.875,0.9375,0.9375,0.9375,0.875,0.9375,0.875,0.875,0.9375,1.0,0.9375,0.875,0.9375,0.9375,1.0
