road,one-plus-o1011,one-plus-o212,one-plus-o217,one-plus-o219,one-plus-o232,one-plus-o239,one-plus-o39,one-plus-o313,one-plus-o357,random--la12,random--la17,random--la1014,random--la1024,random--la24,random--la211,random--la213,random--la228,random--la315,random--la43,random--la410,random--la419,random--la433,random--la52,random--la518,random--la62,random--la733,random--la819,random--la824,random--la916,random--la926
random--la17,0.1875,0.25,0.1875,0.25,0.25,0.1875,0.5,0.5,0.375,0.4375,1.0,0.5,0.375,0.3125,0.4375,0.375,0.5,0.25,0.25,0.375,0.25,0.3125,0.25,0.25,0.4375,0.25,0.25,0.25,0.625,0.375
random--la1014,0.5625,0.75,0.6875,0.75,0.75,0.6875,1.0,1.0,0.875,0.8125,0.5,1.0,0.75,0.8125,0.8125,0.75,0.875,0.625,0.75,0.875,0.75,0.6875,0.75,0.75,0.9375,0.625,0.625,0.625,0.875,0.875
random--la1024,0.8125,0.875,0.8125,0.875,0.875,0.8125,0.75,0.75,0.875,0.9375,0.375,0.75,1.0,0.9375,0.9375,1.0,0.875,0.875,0.875,0.875,0.875,0.9375,0.875,0.875,0.8125,0.875,0.875,0.875,0.625,0.875
random--la24,0.75,0.9375,0.875,0.9375,0.9375,0.875,0.8125,0.8125,0.9375,0.875,0.3125,0.8125,0.9375,1.0,0.875,0.9375,0.8125,0.8125,0.9375,0.9375,0.9375,0.875,0.9375,0.9375,0.875,0.8125,0.8125,0.8125,0.6875,0.9375
random--la211,0.75,0.8125,0.75,0.8125,0.8125,0.75,0.8125,0.8125,0.9375,1.0,0.4375,0.8125,0.9375,0.875,1.0,0.9375,0.9375,0.8125,0.8125,0.9375,0.8125,0.875,0.8125,0.8125,0.875,0.8125,0.8125,0.8125,0.6875,0.9375
random--la213,0.8125,0.875,0.8125,0.875,0.875,0.8125,0.75,0.75,0.875,0.9375,0.375,0.75,1.0,0.9375,0.9375,1.0,0.875,0.875,0.875,0.875,0.875,0.9375,0.875,0.875,0.8125,0.875,0.875,0.875,0.625,0.875
random--la228,0.6875,0.75,0.6875,0.75,0.75,0.6875,0.875,0.875,0.875,0.9375,0.5,0.875,0.875,0.8125,0.9375,0.875,1.0,0.75,0.75,0.875,0.75,0.8125,0.75,0.75,0.9375,0.75,0.75,0.75,0.75,0.875
random--la315,0.9375,0.875,0.9375,0.875,0.875,0.9375,0.625,0.625,0.75,0.8125,0.25,0.625,0.875,0.8125,0.8125,0.875,0.75,1.0,0.875,0.75,0.875,0.9375,0.875,0.875,0.6875,1.0,1.0,1.0,0.5,0.75
random--la43,0.8125,1.0,0.9375,1.0,1.0,0.9375,0.75,0.75,0.875,0.8125,0.25,0.75,0.875,0.9375,0.8125,0.875,0.75,0.875,1.0,0.875,1.0,0.9375,1.0,1.0,0.8125,0.875,0.875,0.875,0.625,0.875
random--la410,0.6875,0.875,0.8125,0.875,0.875,0.8125,0.875,0.875,1.0,0.9375,0.375,0.875,0.875,0.9375,0.9375,0.875,0.875,0.75,0.875,1.0,0.875,0.8125,0.875,0.875,0.9375,0.75,0.75,0.75,0.75,1.0
random--la419,0.8125,1.0,0.9375,1.0,1.0,0.9375,0.75,0.75,0.875,0.8125,0.25,0.75,0.875,0.9375,0.8125,0.875,0.75,0.875,1.0,0.875,1.0,0.9375,1.0,1.0,0.8125,0.875,0.875,0.875,0.625,0.875
random--la433,0.875,0.9375,0.875,0.9375,0.9375,0.875,0.6875,0.6875,0.8125,0.875,0.3125,0.6875,0.9375,0.875,0.875,0.9375,0.8125,0.9375,0.9375,0.8125,0.9375,1.0,0.9375,0.9375,0.75,0.9375,0.9375,0.9375,0.5625,0.8125
random--la52,0.8125,1.0,0.9375,1.0,1.0,0.9375,0.75,0.75,0.875,0.8125,0.25,0.75,0.875,0.9375,0.8125,0.875,0.75,0.875,1.0,0.875,1.0,0.9375,1.0,1.0,0.8125,0.875,0.875,0.875,0.625,0.875
random--la518,0.8125,1.0,0.9375,1.0,1.0,0.9375,0.75,0.75,0.875,0.8125,0.25,0.75,0.875,0.9375,0.8125,0.875,0.75,0.875,1.0,0.875,1.0,0.9375,1.0,1.0,0.8125,0.875,0.875,0.875,0.625,0.875
random--la62,0.625,0.8125,0.75,0.8125,0.8125,0.75,0.9375,0.9375,0.9375,0.875,0.4375,0.9375,0.8125,0.875,0.875,0.8125,0.9375,0.6875,0.8125,0.9375,0.8125,0.75,0.8125,0.8125,1.0,0.6875,0.6875,0.6875,0.8125,0.9375
random--la733,0.9375,0.875,0.9375,0.875,0.875,0.9375,0.625,0.625,0.75,0.8125,0.25,0.625,0.875,0.8125,0.8125,0.875,0.75,1.0,0.875,0.75,0.875,0.9375,0.875,0.875,0.6875,1.0,1.0,1.0,0.5,0.75
random--la819,0.9375,0.875,0.9375,0.875,0.875,0.9375,0.625,0.625,0.75,0.8125,0.25,0.625,0.875,0.8125,0.8125,0.875,0.75,1.0,0.875,0.75,0.875,0.9375,0.875,0.875,0.6875,1.0,1.0,1.0,0.5,0.75
random--la824,0.9375,0.875,0.9375,0.875,0.875,0.9375,0.625,0.625,0.75,0.8125,0.25,0.625,0.875,0.8125,0.8125,0.875,0.75,1.0,0.875,0.75,0.875,0.9375,0.875,0.875,0.6875,1.0,1.0,1.0,0.5,0.75
random--la916,0.4375,0.625,0.5625,0.625,0.625,0.5625,0.875,0.875,0.75,0.6875,0.625,0.875,0.625,0.6875,0.6875,0.625,0.75,0.5,0.625,0.75,0.625,0.5625,0.625,0.625,0.8125,0.5,0.5,0.5,1.0,0.75
random--la926,0.6875,0.875,0.8125,0.875,0.875,0.8125,0.875,0.875,1.0,0.9375,0.375,0.875,0.875,0.9375,0.9375,0.875,0.875,0.75,0.875,1.0,0.875,0.8125,0.875,0.875,0.9375,0.75,0.75,0.75,0.75,1.0
