road,one-plus-o243,one-plus-o35,one-plus-o38,one-plus-o324,random--la19,random--la122,random--la1017,random--la1021,random--la1022,random--la1024,random--la235,random--la240,random--la314,random--la317,random--la413,random--la415,random--la423,random--la438,random--la518,random--la62,random--la66,random--la628,random--la637,random--la638,random--la660,random--la72,random--la732,random--la86,random--la88,random--la813
random--la415,0.625,0.75,0.75,0.75,0.75,0.6875,0.6875,0.625,0.625,0.75,0.625,0.75,0.625,0.625,0.5625,1.0,0.625,0.75,0.625,0.8125,0.75,0.75,0.6875,0.625,0.75,0.625,0.625,0.625,0.6875,0.625
random--la423,1.0,0.75,0.75,0.875,0.875,0.9375,0.9375,1.0,1.0,0.875,1.0,0.875,0.875,0.875,0.9375,0.625,1.0,0.875,1.0,0.8125,0.875,0.875,0.9375,0.75,0.875,1.0,0.875,0.875,0.8125,0.875
random--la438,0.875,0.625,0.625,0.75,0.875,0.9375,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.75,0.875,1.0,0.875,0.6875,1.0,0.75,0.9375,0.625,0.875,0.875,0.875,0.875,0.9375,0.875
random--la518,1.0,0.75,0.75,0.875,0.875,0.9375,0.9375,1.0,1.0,0.875,1.0,0.875,0.875,0.875,0.9375,0.625,1.0,0.875,1.0,0.8125,0.875,0.875,0.9375,0.75,0.875,1.0,0.875,0.875,0.8125,0.875
random--la62,0.8125,0.9375,0.9375,0.9375,0.8125,0.75,0.875,0.8125,0.8125,0.8125,0.8125,0.8125,0.6875,0.6875,0.75,0.8125,0.8125,0.6875,0.8125,1.0,0.6875,0.9375,0.75,0.8125,0.8125,0.8125,0.6875,0.6875,0.625,0.6875
random--la66,0.875,0.625,0.625,0.75,0.875,0.9375,0.8125,0.875,0.875,0.875,0.875,0.875,0.875,0.875,0.8125,0.75,0.875,1.0,0.875,0.6875,1.0,0.75,0.9375,0.625,0.875,0.875,0.875,0.875,0.9375,0.875
random--la628,0.875,0.875,0.875,1.0,0.875,0.8125,0.9375,0.875,0.875,0.875,0.875,0.875,0.75,0.75,0.8125,0.75,0.875,0.75,0.875,0.9375,0.75,1.0,0.8125,0.75,0.875,0.875,0.75,0.75,0.6875,0.75
random--la637,0.9375,0.6875,0.6875,0.8125,0.9375,1.0,0.875,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.9375,0.875,0.6875,0.9375,0.9375,0.9375,0.75,0.9375,0.8125,1.0,0.6875,0.9375,0.9375,0.9375,0.9375,0.875,0.9375
random--la638,0.75,0.875,0.875,0.75,0.625,0.6875,0.6875,0.75,0.75,0.625,0.75,0.625,0.625,0.625,0.6875,0.625,0.75,0.625,0.75,0.8125,0.625,0.75,0.6875,1.0,0.625,0.75,0.625,0.625,0.5625,0.625
random--la660,0.875,0.75,0.75,0.875,1.0,0.9375,0.9375,0.875,0.875,1.0,0.875,1.0,0.875,0.875,0.8125,0.75,0.875,0.875,0.875,0.8125,0.875,0.875,0.9375,0.625,1.0,0.875,0.875,0.875,0.8125,0.875
random--la72,1.0,0.75,0.75,0.875,0.875,0.9375,0.9375,1.0,1.0,0.875,1.0,0.875,0.875,0.875,0.9375,0.625,1.0,0.875,1.0,0.8125,0.875,0.875,0.9375,0.75,0.875,1.0,0.875,0.875,0.8125,0.875
random--la732,0.875,0.625,0.625,0.75,0.875,0.9375,0.8125,0.875,0.875,0.875,0.875,0.875,1.0,1.0,0.9375,0.625,0.875,0.875,0.875,0.6875,0.875,0.75,0.9375,0.625,0.875,0.875,1.0,1.0,0.9375,1.0
random--la86,0.875,0.625,0.625,0.75,0.875,0.9375,0.8125,0.875,0.875,0.875,0.875,0.875,1.0,1.0,0.9375,0.625,0.875,0.875,0.875,0.6875,0.875,0.75,0.9375,0.625,0.875,0.875,1.0,1.0,0.9375,1.0
random--la88,0.8125,0.5625,0.5625,0.6875,0.8125,0.875,0.75,0.8125,0.8125,0.8125,0.8125,0.8125,0.9375,0.9375,0.875,0.6875,0.8125,0.9375,0.8125,0.625,0.9375,0.6875,0.875,0.5625,0.8125,0.8125,0.9375,0.9375,1.0,0.9375
random--la813,0.875,0.625,0.625,0.75,0.875,0.9375,0.8125,0.875,0.875,0.875,0.875,0.875,1.0,1.0,0.9375,0.625,0.875,0.875,0.875,0.6875,0.875,0.75,0.9375,0.625,0.875,0.875,1.0,1.0,0.9375,1.0
